,sentences,labels
0,Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral
1,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive
2,`` Russia is ready to participate in an open tender for Lattelecom 's privatization .,neutral
3,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive
4,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive
5,"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .",neutral
6,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,neutral
7,"The three year turn-around program is expected to ensure Salomon 's future competitiveness , the company said .",positive
8,Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral
9,"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",neutral
10,The uranium found locally is naturally occurring and it makes sense to extract it in the same way as we do with our other metals . '',neutral
11,"`` We are delighted to welcome Elisa to our Board of Directors , '' said Garry McGuire , CEO of RMG Networks .",positive
12,"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",neutral
13,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative
14,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative
15,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,positive
16,The aim is to increase sales by at least one fifth in 2006 .,positive
17,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive
18,Viking Line has canceled some services .,negative
19,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative
20,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive
21,Valga Lihatoostus markets its products under the Maks & Moorits trademark .,neutral
22,"According to Saarioinen 's Managing Director Ilkka M+Ækel+Æ , the food industry sector has a significant excess of production machinery .",neutral
23,The forecast for 2012 is 3.3 % .,neutral
24,Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral
25,"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",neutral
26,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",negative
27,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",neutral
28,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral
29,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive
30,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive
